GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InfiniteMapGame,tsi.leigh.infinite.game,BoatLanding,5,30,1,3,1,10,1,3,0,2
InfiniteMapGame,tsi.leigh.infinite.game,Shore,5,30,1,3,1,10,1,4,0,2
InfiniteMapGame,tsi.leigh.infinite.game,Tile,0,18,0,0,0,5,0,4,0,4
InfiniteMapGame,tsi.leigh.infinite.game,Main,38,22,2,2,14,4,4,2,3,1
InfiniteMapGame,tsi.leigh.infinite.game,Grass,16,38,4,4,4,13,3,3,0,2
InfiniteMapGame,tsi.leigh.infinite.game,Beach,5,46,1,6,1,15,1,6,0,2
InfiniteMapGame,tsi.leigh.infinite.game,Ocean,5,9,0,0,1,4,1,1,1,1
InfiniteMapGame,tsi.leigh.infinite.game,TileShouldNotGenerateException,0,4,0,0,0,2,0,1,0,1
InfiniteMapGame,tsi.leigh.infinite.game,Boat,0,27,0,2,0,9,0,3,0,2
InfiniteMapGame,tsi.leigh.infinite.game,Map,0,127,0,7,0,35,0,13,0,8
